,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
106,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3444
107,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3476
108,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3495
109,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3486
110,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3566
111,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3729
112,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3561
113,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3469
114,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3687
115,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3563
116,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3694
117,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3765
118,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3465
119,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3315
120,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2911
121,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2394
122,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2293
123,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2325
124,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2321
125,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2297
126,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2326
127,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2362
128,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2298
129,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2247
130,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2235
131,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2271
132,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2219
133,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2228
134,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2238
135,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",2082
136,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",0
137,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1
138,0 Alle kilder,VT0 I alt,K80 Hydrofluorkarboner (HFK),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3
